mnthnumber,mnth,week_number,confirmed,recovered,deaths,tests
1,January,0,41262172,39664086,597452,721670716
1,January,1,145536494,140204370,2105170,2584489350
1,January,2,147173780,142030078,2124572,2673204408
1,January,3,148571478,143695820,2140754,2752609128
1,January,4,149882254,145258696,2154644,2828113129
1,January,5,21517258,20868014,308856,409851467
2,February,5,129565304,125830702,1857500,2489925949
2,February,6,152188684,148015452,2175512,2972575599
2,February,7,153321498,149156038,2184718,3042334594
2,February,8,154672834,150304752,2194370,3114224766
2,February,9,22224114,21569136,314388,451178587
3,March,9,133993260,129976444,1890422,2739596474
3,March,10,158046048,153086752,2215298,3266227039
3,March,11,160752926,154900882,2229560,3351107736
3,March,12,165165852,157276028,2250524,3452207660
3,March,13,97015994,91299316,1299212,2019149557
4,April,13,74377556,69435890,985060,1537729911
4,April,14,181315664,166060046,2341272,3677145595
4,April,15,197668918,174381822,2433438,3824651810
4,April,16,223742426,188770510,2600366,3993650970
4,April,17,218718296,179638470,2448380,3569411605
5,May,17,39253724,32005622,436156,611633863
5,May,18,295938732,242066442,3249842,4375504207
5,May,19,332698486,276537432,3650836,4573210971
5,May,20,362193990,313187766,4067854,4776770845
5,May,21,385027214,345511222,4474214,4997687836
5,May,22,112823062,103432474,1332888,1459388332
6,June,22,288311912,267097562,3484444,3778945021
6,June,23,412526514,388676874,5143130,5484928705
6,June,24,420928962,401351816,5501652,5693950169
6,June,25,427794314,410514594,5696120,5902243469
6,June,26,246141000,237136454,3286412,3451522320
7,July,26,188120454,180666292,2554974,2670557071
7,July,27,440714050,424375768,5969426,6335852922
7,July,28,447448756,430512300,6114444,6552116660
7,July,29,455003932,436918696,6269434,6775628529
7,July,30,460141864,441788886,6332966,6959619883
8,August,30,3504342,2293834,74820,42518253
8,August,31,472955536,452181120,6539222,7241394062
8,August,32,482646226,461267910,6677562,7495043068
8,August,33,492257334,470602210,6818320,7757487716
8,August,34,502264390,480255610,6957646,8019123869
8,August,35,211245924,202929700,2892174,3426802210
9,September,35,302742008,286969306,4206282,4864928072
9,September,36,526388738,500632706,7236200,8569166723
9,September,37,538557902,512141162,7380098,8836334312
9,September,38,550137074,524640202,7521746,9099057702
9,September,39,386680640,370922654,5254084,6502606260
10,October,39,174026862,164857038,2399892,2863705491
10,October,40,570148368,546225590,7775532,9616456642
10,October,41,578518914,556171514,7881616,9855277261
10,October,42,585643144,565011716,7975672,10083007799
10,October,43,591814216,572862944,8078696,10317041727
10,October,44,68571224,67322678,916940,1263574151
11,November,44,117104456,107921060,1741174,1652351539
11,November,45,121563098,112857232,1794284,1760664244
11,November,46,125483212,117348392,1843092,1856334117
11,November,47,129721816,121524458,1893508,1963767295
11,November,48,37790666,35469816,549672,581935798
12,December,48,95719656,90156446,1392062,1494471350
12,December,49,136733594,129511610,1985512,2183121161
12,December,50,139379386,132808106,2022542,2286992476
12,December,51,141721464,135627696,2054850,2392291067
12,December,52,102464930,98327126,1484794,1768119863
